name,host_id,borough,neighbourhood,latitude,longitude,room_type,price,minimum_nights
"Adorable 1 bedroom, private entrance.",398867059,Queens,Ditmars Steinway,40.769456754640572171410894952714443206787109375,-73.8961686193943023681640625,Entire home/apt,85,1
House with Large Backyard,70410029,Brooklyn,East New York,40.6743258999999994784957380034029483795166015625,-73.8924064999999927749740891158580780029296875,Entire home/apt,3000,1
Lovely 2-bedroom rental unit in New York City,104403379,Manhattan,Harlem,40.82547000000000281261236523278057575225830078125,-73.9507799999999946294337860308587551116943359375,Entire home/apt,275,1
St. Regis Residence Club - 2 BR Suite. 5th Ave NYC,482204791,Manhattan,Midtown,40.7608877424128621669296990148723125457763671875,-73.9730467730163354644901119172573089599609375,Entire home/apt,1964,1
Sexiest Condo in NYC!,107507766,Queens,Astoria,40.77513185652480132148411939851939678192138671875,-73.929224498569965362548828125,Entire home/apt,300,1
(B) NEW Basement studio near JFK/LGA/UBS!,41922913,Queens,Queens Village,40.7170899999999988949639373458921909332275390625,-73.7516399999999947567630442790687084197998046875,Entire home/apt,91,1
Host your party or Event Space w/ full Kitchen,480379890,Bronx,Wakefield,40.9000800000000026557245291769504547119140625,-73.8569700000000040063241613097488880157470703125,Entire home/apt,300,1
lower level suite,459783558,Bronx,Morris Park,40.8446688851760342231500544585287570953369140625,-73.8527138229494113375039887614548206329345703125,Entire home/apt,83,1
Loft in a old horse stable,17601262,Brooklyn,Williamsburg,40.71282999999999674400896765291690826416015625,-73.9346100000000063801053329370915889739990234375,Entire home/apt,150,1
Gorgeous ! Amazing! Rasta palace ….,4941291,Brooklyn,Bedford-Stuyvesant,40.6804300000000012005330063402652740478515625,-73.9571499999999986130205797962844371795654296875,Entire home/apt,400,1
"East Village 1 Bedroom, 3rd story walk-up, quiet",29144304,Manhattan,East Village,40.73033000000000214413375942967832088470458984375,-73.983159999999998035491444170475006103515625,Entire home/apt,200,1
Whole place in Bushwick,28015622,Brooklyn,Bushwick,40.68272999999999939291228656657040119171142578125,-73.90922000000000480213202536106109619140625,Entire home/apt,123,1
3000 sqft Bright Photostudio Flatiron,465579714,Manhattan,Flatiron District,40.7407299999999992223820299841463565826416015625,-73.9921800000000047248249757103621959686279296875,Entire home/apt,1950,1
Beautiful 2 bedroom home - Bronx,405671301,Bronx,Castle Hill,40.8166599999999988312993082217872142791748046875,-73.8507000000000033423930290155112743377685546875,Entire home/apt,136,1
Comfy 1 bedroom apartment,251217819,Brooklyn,East Flatbush,40.65767000000000308546077576465904712677001953125,-73.9170500000000032514435588382184505462646484375,Entire home/apt,120,1
The Cozy Place,384638084,Queens,South Ozone Park,40.67965000000000230784280574880540370941162109375,-73.8043899999999979399945004843175411224365234375,Entire home/apt,90,1
Park Slope 2-bedroom,490942622,Brooklyn,Gowanus,40.6660676999999992631273926235735416412353515625,-73.9927909000000028072463464923202991485595703125,Entire home/apt,153,1
Home Away From Home,380862126,Brooklyn,Bergen Beach,40.623187999999998964995029382407665252685546875,-73.9166469999999975470927893184125423431396484375,Entire home/apt,150,1
Rest your mind & Feel at Home Entire place,490267039,Brooklyn,Cypress Hills,40.68069939999998752000465174205601215362548828125,-73.890775800000000117506715469062328338623046875,Entire home/apt,133,1
Cloud Suite NYC,4399322,Manhattan,Financial District,40.711309999999997444319888018071651458740234375,-74.00700000000000500222085975110530853271484375,Entire home/apt,471,1
Spacious 1BR Apartment w Parking,30805991,Brooklyn,Bushwick,40.6907700000000005502442945726215839385986328125,-73.9044999999999987494447850622236728668212890625,Entire home/apt,163,1
"A look at the Bronx, cozy",167598053,Bronx,Fordham,40.866230000000001609805622138082981109619140625,-73.888810000000006539266905747354030609130859375,Entire home/apt,160,1
Queen Studio in Times Square!,419867541,Manhattan,Chelsea,40.75061000000000177578840521164238452911376953125,-73.9945100000000053341864258982241153717041015625,Entire home/apt,150,1
Insta-Worthy Glamorous Condo,334448475,Manhattan,Hell's Kitchen,40.759759999999999990905052982270717620849609375,-73.997780000000005884430720470845699310302734375,Entire home/apt,645,1
A+ Location! 3BR Central Park!,451769991,Manhattan,Upper East Side,40.7644599999999996953192749060690402984619140625,-73.96854999999999336068867705762386322021484375,Entire home/apt,486,1
Modern & Gorgeous 3BD + Spacious | Ferry | NYC,39553567,Staten Island,Mariners Harbor,40.62771237009003044704513740725815296173095703125,-74.1479203580359040870462195016443729400634765625,Entire home/apt,215,1
Great apartment in Harlem,10933956,Manhattan,Harlem,40.80984000000000122554411063902080059051513671875,-73.9449299999999993815436027944087982177734375,Entire home/apt,125,1
"Spacious Boutique Studio Apt, 24/7 Onsite team",176950173,Manhattan,Midtown,40.7632100000000008321876521222293376922607421875,-73.97629000000000587533577345311641693115234375,Entire home/apt,468,1
"naturally bright, cozy studio!",484932854,Manhattan,Greenwich Village,40.73096000000000316276782541535794734954833984375,-74.0009500000000031150193535722792148590087890625,Entire home/apt,330,1
"[Big Unit] 1Bd, Kitchen&Bathroom",455342215,Queens,Ozone Park,40.68632000000000203954186872579157352447509765625,-73.8476299999999952206053421832621097564697265625,Entire home/apt,80,1
Convenient 2 Bedroom Apartment by Public Transits,434697141,Queens,Flushing,40.76624000000000336285665980540215969085693359375,-73.8167799999999942883732728660106658935546875,Entire home/apt,108,1
Cozy Colorful Loft Apartment,395145358,Queens,St. Albans,40.69097000000000008412825991399586200714111328125,-73.773899999999997589839040301740169525146484375,Entire home/apt,150,1
Stunning Emerald 2 BR - Elevator,484779743,Manhattan,Upper West Side,40.77667999999999892679625190794467926025390625,-73.979749999999995679900166578590869903564453125,Entire home/apt,328,1
Washington Heights,86098266,Manhattan,Washington Heights,40.839889999999996916812960989773273468017578125,-73.937860000000000582076609134674072265625,Entire home/apt,106,1
Quiet 4 Fl Apt Views On 3 Sides,458554331,Queens,Richmond Hill,40.69606900000000138106770464219152927398681640625,-73.845444200000002865635906346142292022705078125,Entire home/apt,120,1
Guests are cordially invited,490544246,Queens,Ozone Park,40.6804300981351616428582929074764251708984375,-73.86185179272803225103416480123996734619140625,Entire home/apt,93,1
Brooklyn Penthouse and Urban Oasis,33681,Brooklyn,Bedford-Stuyvesant,40.67855663095989626754089840687811374664306640625,-73.9408190796774533737334422767162322998046875,Entire home/apt,264,1
Charming 2 bedrooms Entire/Apt in Brooklyn,189028939,Brooklyn,Bensonhurst,40.6148400000000009413270163349807262420654296875,-74.0044999999999930651028989814221858978271484375,Entire home/apt,125,1
Industrial Style High Ceiling Loft with Parking,23510890,Bronx,Port Morris,40.80863098808674038764365832321345806121826171875,-73.9299095619351049890610738657414913177490234375,Entire home/apt,245,1
The Retreat - Simplistic Home BK,392217081,Brooklyn,Canarsie,40.63369999999999748752088635228574275970458984375,-73.9128400000000027603164198808372020721435546875,Entire home/apt,79,1
Wilson Terrace Apartment 1FL,490358470,Staten Island,Todt Hill,40.6047903999999988400304573588073253631591796875,-74.0933232999999944468072499148547649383544921875,Entire home/apt,79,1
Stylish Kitchen. Event Space(pricing varies),344055542,Brooklyn,Williamsburg,40.71161000000000029785951483063399791717529296875,-73.934259999999994761310517787933349609375,Entire home/apt,600,1
Lovely 3-bdrm apartment with parking on premises,389589118,Queens,Ozone Park,40.68035966699113004096943768672645092010498046875,-73.8456931838525321154520497657358646392822265625,Entire home/apt,200,1
